peak_label,chemical_formula,mz_mean_neg,rt_expected_neg,detected_neg,mz_mean_pos,rt_expected_pos,is_standard,monoisotopic_mass,refmet_name,pubchem_cid,refmet_mass,formula,inchi_key,super_class,main_class,sub_class,refmet_regno,Smiles
3-Methyladenine,C6H7N5,,,,150.0775,5.08,True,149.0701452507,3-Methyladenine,1673,149.0701,C6H7N5,FSASIHFSFGAIJM-UHFFFAOYSA-N,Nucleic acids,Purines,6-aminopurines,41415,CN1C=NC(=C2C1=NC=N2)N
AMP,C10H14N5O7P,346.0558,8.25,D,348.0704,8.25,True,347.0630843401,AMP,6083,347.0631,C10H14N5O7P,UDMBCSSLTHHNCD-KQYNXXCUSA-N,Nucleic acids,Purines,Purine ribonucleoside monophosphates,37043,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N
Adenine,C5H5N5,134.0472,4.57,D,136.0618,4.57,True,135.0544951865,Adenine,190,135.0545,C5H5N5,GFFGJBXGBJISGV-UHFFFAOYSA-N,Nucleic acids,Purines,6-aminopurines,37038,C1=NC2=NC=NC(=C2N1)N
Adenosine,C10H13N5O4,266.0895,4.2,D,268.1041,4.2,True,267.0967539317,Adenosine,60961,267.0968,C10H13N5O4,OIRDTQYFTABQOQ-KQYNXXCUSA-N,Nucleic acids,Purines,Purine ribonucleosides,37045,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N
Agmatine,C5H14N4,,,,131.1292,8.4,True,130.1218464702,Agmatine,199,130.1218,C5H14N4,QYPPJABKJHAVHS-UHFFFAOYSA-N,Organic nitrogen compounds,Organonitrogen compounds,Guanidines,37797,C(CCN=C(N)N)CN
Alanine,C3H7NO2,,,,90.055,7.8,True,89.0476784741,Alanine,5950,89.0477,C3H7NO2,QNAYBMKLOCPYGJ-REOHCLBHSA-N,Organic acids,Amino acids and peptides,Amino acids,37109,CC(C(=O)O)N
Arginine,C6H14N4O2,173.1044,8.35,D,175.11900000000003,8.35,True,174.1116757144,Arginine,6322,174.1117,C6H14N4O2,ODKSFYDXXFIFQN-BYPYZUCNSA-N,Organic acids,Amino acids and peptides,Amino acids,37289,C(CC(C(=O)O)N)CN=C(N)N
Asparagine,C4H8N2O3,131.0462,7.96,D,133.0608,7.96,True,132.05349213350001,Asparagine,6267,132.0535,C4H8N2O3,DCXYFEDJOCDNAF-REOHCLBHSA-N,Organic acids,Amino acids and peptides,Amino acids,37114,C(C(C(=O)O)N)C(=O)N
Aspartic acid,C4H7NO4,132.0302,8.28,D,134.0448,8.28,True,133.0375077183,Aspartic acid,5960,133.0375,C4H7NO4,CKLJMWTZIZZHCS-REOHCLBHSA-N,Organic acids,Amino acids and peptides,Amino acids,37126,C(C(C(=O)O)N)C(=O)O
Betaine,C5H11NO2,116.0717,7.25,ND,118.0863,7.11,True,117.0789786025,Betaine,247,117.079,C5H11NO2,KWIUHFFTVRNATP-UHFFFAOYSA-N,Organic acids,Amino acids and peptides,Amino acids,37042,C[N+](C)(C)CC(=O)[O-]
Biotin,C10H16N2O3S,243.0809,3.58,D,245.0955,3.58,True,244.0881630803,Biotin,171548,244.0882,C10H16N2O3S,YBJHBAHKTGYVGT-ZKWXMUAHSA-N,Organoheterocyclic compounds,Heterocyclic compounds,Biotin,37035,C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2
Carnosine,C9H14N4O3,225.0993,8.4,D,227.1139,8.4,True,226.1065903365,Carnosine,439224,226.1066,C9H14N4O3,CQOVPNPJLQNMDC-ZETCQYMHSA-N,Organic acids,Amino acids and peptides,Hybrid peptides,37037,C1=C(NC=N1)CC(C(=O)O)NC(=O)CCN
Choline,C5H13NO,,,,104.10700000000001,4.2,True,103.0997140446,Choline,305,104.1075,C5H14NO,OEYIOHPDSNJKLS-UHFFFAOYSA-N,Organic nitrogen compounds,Cholines,Cholines,37073,C[N+](C)(C)CCO
Citrulline,C6H13N3O3,174.0884,8.15,D,176.10299999999998,8.15,True,175.0956912992,Citrulline,9750,175.0957,C6H13N3O3,RHGKLRLOHDJJDR-BYPYZUCNSA-N,Organic acids,Amino acids and peptides,Amino acids,37494,C(CC(C(=O)O)N)CNC(=O)N
Creatinine,C4H7N3O,112.0516,5.16,D,114.0662,5.16,True,113.0589118624,Creatinine,588,113.0589,C4H7N3O,DDRJAANPRJIHGJ-UHFFFAOYSA-N,Organoheterocyclic compounds,Azolines,Imidazolines,37310,CN1CC(=O)N=C1N
Cysteic acid,C3H7NO5S,167.9972,8.05,D,170.0118,8.05,True,169.0044930304,Cysteic acid,72886,169.0045,C3H7NO5S,XVOYSCVBGLVSOL-REOHCLBHSA-N,Organic acids,Amino acids and peptides,Amino acids,49870,C(C(C(=O)O)N)S(=O)(=O)O
Cystine,C6H12N2O4S2,239.0166,8.45,D,241.0312,8.45,True,240.02384826399998,Cystine,6857538,240.0239,C6H12N2O4S2,LEVWYRKDKASIDU-QWWZWVQMSA-N,Organic acids,Amino acids and peptides,Amino acids,55119,C(C(C(=O)O)N)SSCC(C(=O)O)N
Cytidine,C9H13N3O5,242.0782,5.79,D,244.0928,5.79,True,243.0855205434,Cytidine,6175,243.0855,C9H13N3O5,UHDGCWIWMRVCDJ-XVFCMESISA-N,Nucleic acids,Pyrimidines,Pyrimidine ribonucleosides,37069,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O
Cytosine,C4H5N3O,,,,112.0506,5.56,True,111.0432617982,Cytosine,597,111.0433,C4H5N3O,OPTASPLRGRRNAP-UHFFFAOYSA-N,Nucleic acids,Pyrimidines,Pyrimidones,37339,C1=C(NC(=O)N=C1)N
Dihydroorotic acid,C5H6N2O4,157.0255,5.63,D,,,True,158.03275669139998,Dihydroorotic acid,439216,158.0328,C5H6N2O4,UFIVEPVSAGBUSI-REOHCLBHSA-N,Organic acids,Amino acids and peptides,Amino acids,38301,C1C(NC(=O)NC1=O)C(=O)O
Folic acid,C19H19N7O6,440.1324,7.36,D,442.147,7.56,True,441.13968137890004,Folic acid,6037,441.1397,C19H19N7O6,OVBPIULPVIDEAO-LBPRGKRZSA-N,Organoheterocyclic compounds,Pterins,Folic acids,37083,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)N=C(N3)N
Fumaric acid,C4H4O4,115.0037,4.0,D,,,True,116.0109586168,Fumaric acid,444972,116.01100000000001,C4H4O4,VZCYOOQTPOCHFL-OWOJBTEDSA-N,Organic acids,TCA acids,TCA acids,37095,C(=CC(=O)O)C(=O)O
Galactose-6-phosphate,C6H13O9P,259.0225,8.54,D,,,True,260.0297185262,Galactose-6-phosphate,3034794,260.0297,C6H13O9P,VFRROHXSMXFLSN-KCDKBNATSA-N,Carbohydrates,Monosaccharides,Monosaccharide phosphates,51020,C(C(C(C(C(C=O)O)O)O)O)OP(=O)(O)O
Gamma-Aminobutyric acid,C4H9NO2,,,,104.0707,6.83,True,103.0633285383,Gamma-Aminobutyric acid,119,103.0633,C4H9NO2,BTCSSZJGUNDROE-UHFFFAOYSA-N,Fatty Acyls,Fatty acids,Amino FA,1864,C(CC(=O)O)CN
Glutamic acid,C5H9NO4,146.0459,8.09,D,148.0605,8.09,True,147.0531577825,Glutamic acid,33032,147.0532,C5H9NO4,WHUUTDBJXJRKMK-VKHMYHEASA-N,Organic acids,Amino acids and peptides,Amino acids,37101,C(CC(=O)O)C(C(=O)O)N
Glutamine,C5H10N2O3,145.0619,7.98,D,147.0765,7.98,True,146.0691421977,Glutamine,5961,146.0691,C5H10N2O3,ZDXPYRJPNDTMRX-VKHMYHEASA-N,Organic acids,Amino acids and peptides,Amino acids,37346,C(CC(=O)N)C(C(=O)O)N
Glycine,C2H5NO2,,,,76.0393,7.94,True,75.0320284099,Glycine,750,75.032,C2H5NO2,DHMQDGOQFOQNFH-UHFFFAOYSA-N,Organic acids,Amino acids and peptides,Amino acids,37085,C(C(=O)O)N
Guanine,C5H5N5O,150.0421,5.65,D,152.0567,5.65,True,151.0494098086,Guanine,764,151.0494,C5H5N5O,UYTPUPDQBNUYGX-UHFFFAOYSA-N,Nucleic acids,Purines,Hypoxanthines,37093,C1=NC2=C(N1)C(=O)N=C(N2)N
Guanosine,C10H13N5O5,282.0844,5.98,D,284.099,5.98,True,283.0916685538,Guanosine,6802,283.0917,C10H13N5O5,NYHBQMYGNKIUIF-UUOKFMHZSA-N,Nucleic acids,Purines,Purine ribonucleosides,37094,C1=NC2=C(N1C3C(C(C(O3)CO)O)O)NC(=NC2=O)N
Hippuric acid,C9H9NO3,178.051,2.06,D,180.0656,2.06,True,179.0582431604,Hippuric acid,464,179.0582,C9H9NO3,QIAFMBKCNZACKA-UHFFFAOYSA-N,Benzenoids,Benzamides,Hippuric acids,37382,C1=CC=C(C=C1)C(=O)NCC(=O)O
Histidine,C6H9N3O2,154.0622,8.32,D,156.0768,8.32,True,155.06947654869998,Histidine,6274,155.0695,C6H9N3O2,HNDVDQJCIGZPNO-YFKPBYRVSA-N,Organic acids,Amino acids and peptides,Amino acids,37119,C1=C(NC=N1)CC(C(=O)O)N
Hypoxanthine,C5H4N4O,135.0312,4.32,D,137.0458,4.32,True,136.03851077130003,Hypoxanthine,790,136.0385,C5H4N4O,FDGQSTZJBFJUBT-UHFFFAOYSA-N,Nucleic acids,Purines,Hypoxanthines,37106,C1=NC2=C(N1)C(=O)N=CN2
